Uncertainty,Industry,Beta,P_value
CPU,NoDur,-0.002697,0.267
CPU,Durbl,0.007137,0.1675
CPU,Manuf,3.42e-4,0.9109
CPU,Enrgy,-0.002554,0.5125
CPU,HiTec,0.003352,0.4156
CPU,Telcm,-0.004721,0.1325
CPU,Shops,1.8e-5,0.9953
CPU,Hlth,5.4e-4,0.8447
CPU,Utils,-1.95e-4,0.9362
CPU,Other,-0.001209,0.7062
UCT,NoDur,-7.01e-4,0.8783
UCT,Durbl,0.014745,0.1538
UCT,Manuf,-0.003026,0.614
UCT,Enrgy,-0.00148,0.8564
UCT,HiTec,0.008844,0.2888
UCT,Telcm,-0.00299,0.6382
UCT,Shops,0.007074,0.2092
UCT,Hlth,0.002901,0.5768
UCT,Utils,-7.22e-4,0.886
UCT,Other,-0.001691,0.7906
